symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk
BTC,1,Bitcoin,"$44,581,900,625",$2704.23,"16,485,987","$820,944,000",-1.03%,-0.57%,4.06%
ETH,2,Ethereum,"$21,048,629,538",$224.50,"93,757,398","$556,831,000",-0.38%,0.74%,10.42%
Cash,367,Footy,FOOT,"$490,461",$0.120048,"4,085,542","$6,039",-0.39%,-17.01%
XRP,4,Ripple,"$6,701,046,495",$0.174762,"38,343,841,883",*,"$30,650,900",-0.30%,-0.03%
LTC,5,Litecoin,"$2,244,805,884",$42.92,"52,298,682","$93,913,300",-0.06%,0.88%,2.45%
XEM,6,NEM,"$2,026,062,000",$0.225118,"8,999,999,999",*,"$13,790,800",0.42%,4.78%
Classic,918,Neptune,NTCC,?,$0.000523,?,Low,Vol,-0.30%
DASH,8,Dash,"$1,401,926,576",$187.79,"7,465,475","$23,973,000",-0.50%,2.41%,-3.24%
MIOTA,9,IOTA,"$916,689,087",$0.329800,"2,779,530,283",*,"$7,472,910",-0.93%,17.21%
XMR,10,Monero,"$650,556,871",$43.72,"14,881,130","$7,546,690",-0.19%,-0.81%,-2.06%
STRAT,11,Stratis,"$563,571,480",$5.72,"98,488,774",*,"$8,028,190",-1.18%,2.23%
ANS,12,NEO,"$484,383,000",$9.69,"50,000,000",*,"$31,815,800",3.86%,18.70%
EOS,13,EOS,"$466,278,295",$1.80,"259,587,188",*,"$24,735,700",-0.32%,0.04%
QTUM,14,Qtum,"$445,814,620",$7.56,"59,000,000",*,"$27,741,300",0.39%,16.78%
BCC,15,BitConnect,"$429,558,056",$67.59,"6,355,603","$4,249,380",0.20%,3.28%,5.91%
WAVES,16,Waves,"$384,793,000",$3.85,"100,000,000",*,"$4,613,880",-2.66%,10.24%
BTS,17,BitShares,"$359,696,261",$0.138480,"2,597,460,000",*,"$27,495,200",0.04%,-1.17%
ZEC,18,Zcash,"$349,686,115",$185.84,"1,881,631","$17,250,500",-0.35%,-3.66%,-0.49%
VERI,19,Veritaseum,"$326,692,511",$162.84,"2,006,279",*,"$1,118,480",-2.35%,-14.68%
USDT,20,Tether,"$307,794,034",$0.963358,"319,501,197",*,"$54,351,900",-1.01%,-3.70%
STEEM,21,Steem,"$299,279,722",$1.25,"238,591,570","$747,037",-0.10%,-0.75%,-2.30%
ICN,545,iCoin,"$169,235",$0.005868,"28,838,763",Low,Vol,-0.29%,1.82%
SC,23,Siacoin,"$253,204,465",$0.008950,"28,289,579,295","$5,064,110",-0.63%,1.73%,5.87%
GNT,24,Golem,"$247,285,549",$0.296850,"833,032,000",*,"$3,699,180",5.16%,16.65%
GBYTE,25,Byteball,"$230,916,998",$631.09,"365,903",*,"$3,000,320",1.63%,16.72%
LSK,26,Lisk,"$228,869,659",$2.07,"110,443,405",*,"$3,610,600",-0.55%,-2.28%
GNO,27,Gnosis,"$223,194,560",$202.06,"1,104,590",*,"$679,397",1.10%,0.25%
BCN,28,Bytecoin,"$218,895,821",$0.001195,"183,202,481,569","$1,054,380",-0.99%,-6.11%,-6.82%
Lumens,29,Stellar,XLM,"$201,798,245",$0.018610,"10,843,246,805",*,"$3,659,730",-0.69%
DOGE,30,Dogecoin,"$197,642,409",$0.001789,"110,492,530,765","$3,115,080",0.05%,-0.30%,-1.65%
REP,31,Augur,"$194,447,000",$17.68,"11,000,000",*,"$2,241,240",-0.26%,-2.83%
OMG,32,OmiseGo,"$191,443,987",$1.95,"98,312,024",*,"$16,085,900",0.39%,45.19%
SNT,33,Status,"$190,825,592",$0.054985,"3,470,483,788",*,"$14,472,900",-0.39%,0.36%
GAME,34,GameCredits,"$190,727,755",$2.99,"63,705,240","$1,391,770",-0.93%,31.70%,42.47%
FCT,35,Factom,"$168,522,224",$19.25,"8,753,219",*,"$1,600,550",0.16%,-1.86%
DGB,36,DigiByte,"$168,235,929",$0.019244,"8,742,253,657","$5,593,650",0.21%,0.15%,15.41%
NXT,37,Nxt,"$166,711,119",$0.166878,"998,999,983",*,"$21,207,100",1.17%,-8.63%
DCR,38,Decred,"$158,282,587",$28.98,"5,461,957","$587,615",0.01%,-1.41%,15.76%
MAID,39,MaidSafeCoin,"$152,604,746",$0.337209,"452,552,412",*,"$1,521,580",-0.31%,1.18%
ARDR,40,Ardor,"$144,574,208",$0.144719,"998,999,495",*,"$2,388,820",-0.20%,-5.79%
DGD,41,DigixDAO,"$141,146,800",$70.57,"2,000,000",*,"$268,324",1.22%,1.49%
PPT,42,Populous,"$135,105,033",$3.65,"37,004,027",*,"$397,856",-0.43%,5.35%
Attenti...,43,Basic,BAT,"$130,106,000",$0.130106,"1,000,000,000",*,"$1,849,790",1.02%
MCAP,44,MCAP,"$121,837,418",$2.18,"55,803,994",*,"$481,987",-0.20%,10.25%
PIVX,45,PIVX,"$108,044,870",$2.00,"53,979,251",*,"$547,263",0.45%,3.11%
PAY,46,TenX,"$105,376,147",$1.01,"104,661,310",*,"$2,107,770",-0.14%,9.56%
